"","Sex","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight"
"404","F",0.605,0.485,0.165,1.0105,0.435,0.209,0.3
"405","F",0.615,0.525,0.155,1.0385,0.427,0.2315,0.345
"406","M",0.555,0.45,0.175,0.874,0.3275,0.202,0.305
"407","F",0.58,0.44,0.18,0.854,0.3665,0.1635,0.245
"408","F",0.62,0.52,0.225,1.1835,0.378,0.27,0.395
"409","F",0.62,0.47,0.225,1.115,0.378,0.2145,0.36
"410","F",0.6,0.505,0.19,1.129,0.4385,0.256,0.36
"411","F",0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42
"412","M",0.6,0.47,0.175,1.105,0.4865,0.247,0.315
"413","M",0.56,0.46,0.235,0.8395,0.3325,0.157,0.305
"414","M",0.585,0.455,0.225,1.055,0.3815,0.221,0.365
"415","M",0.56,0.435,0.18,0.889,0.36,0.204,0.25
"416","F",0.455,0.35,0.14,0.5185,0.221,0.1265,0.135
"417","F",0.49,0.38,0.145,0.6725,0.249,0.181,0.21
"418","M",0.31,0.22,0.085,0.146,0.061,0.0365,0.045
"419","F",0.275,0.195,0.07,0.08,0.031,0.0215,0.025
"420","M",0.27,0.195,0.08,0.1,0.0385,0.0195,0.03
"421","M",0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075
"422","M",0.28,0.2,0.08,0.0915,0.033,0.0215,0.03
"423","M",0.325,0.23,0.09,0.147,0.06,0.034,0.045
"424","F",0.345,0.25,0.09,0.203,0.078,0.059,0.055
"425","M",0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
"426","F",0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055
"427","M",0.2,0.14,0.055,0.035,0.0145,0.008,0.01
"428","M",0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015
"429","M",0.175,0.125,0.04,0.024,0.0095,0.006,0.005
"430","M",0.155,0.11,0.04,0.0155,0.0065,0.003,0.005
"431","F",0.57,0.445,0.155,0.733,0.282,0.159,0.235
"432","F",0.57,0.45,0.16,0.9715,0.3965,0.255,0.26
"433","M",0.385,0.3,0.095,0.24,0.0885,0.059,0.085
"434","F",0.46,0.355,0.13,0.458,0.192,0.1055,0.13
"435","F",0.435,0.335,0.11,0.38,0.1695,0.086,0.11
"436","M",0.29,0.23,0.075,0.1165,0.043,0.0255,0.04
"437","M",0.275,0.205,0.07,0.094,0.0335,0.02,0.0325
"438","F",0.375,0.29,0.115,0.2705,0.093,0.066,0.0885
"439","F",0.5,0.375,0.14,0.604,0.242,0.1415,0.179
"440","F",0.44,0.355,0.115,0.415,0.1585,0.0925,0.131
"441","M",0.42,0.325,0.115,0.2885,0.1,0.057,0.1135
"442","M",0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117
"443","F",0.38,0.29,0.105,0.257,0.099,0.051,0.085
"444","M",0.32,0.245,0.075,0.1555,0.0585,0.038,0.049
"445","M",0.255,0.195,0.065,0.08,0.0315,0.018,0.027
"446","M",0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155
"447","F",0.565,0.45,0.16,0.795,0.3605,0.1555,0.23
"448","F",0.66,0.5,0.165,1.1905,0.4585,0.298,0.37
"449","F",0.66,0.53,0.17,1.326,0.519,0.2625,0.44
"450","F",0.44,0.34,0.105,0.364,0.148,0.0805,0.1175
"451","F",0.475,0.35,0.115,0.452,0.1715,0.092,0.155
"452","F",0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185
"453","F",0.47,0.355,0.13,0.5465,0.2005,0.126,0.185
"454","M",0.35,0.255,0.065,0.179,0.0705,0.0385,0.06
"455","M",0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345
"456","F",0.41,0.32,0.115,0.387,0.165,0.1005,0.0985
"457","F",0.59,0.455,0.155,1.066,0.382,0.2275,0.415
"458","F",0.57,0.44,0.14,0.9535,0.3785,0.201,0.305
"459","F",0.61,0.475,0.14,1.133,0.5275,0.2355,0.35
"460","F",0.585,0.435,0.175,0.982,0.4055,0.2495,0.27
"461","F",0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515
"462","F",0.625,0.49,0.175,1.233,0.5565,0.247,0.365
"463","F",0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435
"464","F",0.41,0.305,0.1,0.363,0.1735,0.065,0.11
"465","F",0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25
"466","M",0.45,0.335,0.14,0.4625,0.164,0.076,0.15
"467","F",0.405,0.31,0.12,0.3095,0.138,0.058,0.095
"468","F",0.37,0.29,0.115,0.25,0.111,0.057,0.075
"469","F",0.66,0.52,0.18,1.514,0.526,0.2975,0.42
"470","M",0.535,0.42,0.15,0.6995,0.2575,0.153,0.24
"471","F",0.55,0.43,0.14,0.7135,0.2565,0.186,0.225
"472","F",0.56,0.445,0.195,0.981,0.305,0.2245,0.335
"473","F",0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835
"474","F",0.39,0.3,0.1,0.265,0.1075,0.06,0.0865
"475","M",0.345,0.27,0.09,0.195,0.078,0.0455,0.059
"476","M",0.37,0.285,0.1,0.228,0.0675,0.0675,0.081
"477","M",0.35,0.265,0.09,0.1775,0.0575,0.042,0.068
"478","F",0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515
"479","M",0.195,0.145,0.05,0.032,0.01,0.008,0.012
"480","M",0.325,0.24,0.075,0.155,0.0475,0.0355,0.06
"481","M",0.415,0.345,0.135,0.3865,0.128,0.07,0.148
"482","F",0.47,0.355,0.14,0.433,0.1525,0.095,0.152
"483","M",0.32,0.24,0.085,0.17,0.0655,0.047,0.049
"484","M",0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044
"485","M",0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195
"486","M",0.345,0.255,0.08,0.169,0.06,0.0425,0.054
"487","F",0.5,0.385,0.115,0.6785,0.2945,0.138,0.195
"488","F",0.5,0.385,0.105,0.498,0.1795,0.1095,0.17
"489","F",0.525,0.405,0.16,0.658,0.2655,0.1125,0.225
"490","F",0.425,0.335,0.095,0.322,0.1205,0.061,0.125
"491","F",0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09
"492","M",0.34,0.265,0.085,0.1835,0.077,0.046,0.065
"493","F",0.43,0.34,0.12,0.391,0.1555,0.095,0.1405
"494","M",0.46,0.365,0.125,0.467,0.1895,0.0945,0.158
"495","M",0.36,0.295,0.1,0.2105,0.066,0.0525,0.075
"496","M",0.355,0.265,0.09,0.168,0.05,0.041,0.063
"497","M",0.38,0.235,0.1,0.258,0.1055,0.054,0.08
"498","M",0.355,0.26,0.085,0.1905,0.081,0.0485,0.055
"499","F",0.51,0.4,0.13,0.5735,0.219,0.1365,0.195
"500","M",0.325,0.24,0.085,0.173,0.0795,0.038,0.05
"501","F",0.59,0.45,0.16,0.9,0.358,0.156,0.315
"502","M",0.33,0.255,0.095,0.1875,0.0735,0.045,0.06
"503","M",0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105
"504","M",0.33,0.215,0.075,0.1145,0.045,0.0265,0.035
"505","M",0.48,0.375,0.145,0.777,0.216,0.13,0.17
"506","F",0.475,0.36,0.125,0.447,0.1695,0.081,0.14
"507","M",0.255,0.18,0.065,0.079,0.034,0.014,0.025
"508","M",0.31,0.225,0.08,0.1345,0.054,0.024,0.05
"509","F",0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075
"510","M",0.295,0.215,0.075,0.129,0.05,0.0295,0.04
"511","F",0.555,0.435,0.165,0.97,0.336,0.2315,0.295
"512","F",0.615,0.515,0.17,1.14,0.4305,0.2245,0.42
"513","F",0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33
"514","F",0.415,0.34,0.13,0.3675,0.146,0.0885,0.12
"515","F",0.38,0.305,0.105,0.281,0.1045,0.0615,0.09
"516","F",0.395,0.295,0.095,0.2245,0.078,0.054,0.08
"517","M",0.455,0.35,0.12,0.4835,0.1815,0.144,0.16
"518","F",0.485,0.38,0.15,0.605,0.2155,0.14,0.18
"519","M",0.55,0.425,0.155,0.9175,0.2775,0.243,0.335
"520","F",0.45,0.35,0.145,0.5425,0.1765,0.123,0.175
"521","M",0.475,0.385,0.145,0.6175,0.235,0.108,0.215
"522","F",0.5,0.38,0.155,0.655,0.2405,0.143,0.205
"523","F",0.53,0.41,0.165,0.8115,0.24,0.169,0.24
"524","M",0.49,0.39,0.15,0.573,0.225,0.124,0.17
"525","F",0.49,0.385,0.15,0.7865,0.241,0.14,0.24
"526","F",0.52,0.395,0.18,0.64,0.158,0.11,0.245
"527","M",0.54,0.415,0.145,0.74,0.2635,0.168,0.245
"528","F",0.5,0.375,0.115,0.5945,0.185,0.148,0.19
"529","F",0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
"530","F",0.37,0.275,0.1,0.2225,0.093,0.026,0.08
"531","M",0.485,0.37,0.14,0.5725,0.204,0.1415,0.175
"532","F",0.435,0.325,0.115,0.3915,0.154,0.094,0.12
"533","M",0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29
"534","M",0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185
"535","M",0.565,0.44,0.185,0.909,0.344,0.2325,0.255
"536","F",0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21
"537","F",0.535,0.405,0.125,0.927,0.26,0.1425,0.345
"538","M",0.525,0.4,0.17,0.7305,0.279,0.2055,0.195
"539","M",0.59,0.44,0.15,0.9555,0.366,0.2425,0.295
"540","M",0.5,0.375,0.15,0.636,0.2535,0.145,0.19
"541","F",0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11
"542","M",0.38,0.29,0.12,0.283,0.1175,0.0655,0.085
"543","M",0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03
"544","F",0.43,0.335,0.12,0.444,0.155,0.1145,0.14
"545","F",0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195
"546","M",0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875
"547","F",0.48,0.385,0.135,0.536,0.1895,0.142,0.173
"548","F",0.445,0.33,0.105,0.4525,0.18,0.103,0.123
"549","M",0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105
"550","M",0.4,0.3,0.125,0.417,0.191,0.09,0.1175
"551","M",0.415,0.325,0.14,0.417,0.1535,0.1015,0.144
"552","M",0.315,0.25,0.09,0.203,0.0615,0.037,0.0795
"553","F",0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765
"554","M",0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005
"555","M",0.375,0.3,0.1,0.2465,0.104,0.0475,0.083
"556","M",0.355,0.265,0.085,0.201,0.069,0.053,0.0695
"557","M",0.35,0.255,0.08,0.1915,0.08,0.0385,0.063
"558","M",0.555,0.455,0.16,1.0575,0.3925,0.228,0.293
"559","M",0.555,0.44,0.15,1.092,0.416,0.212,0.4405
"560","M",0.525,0.41,0.13,0.99,0.3865,0.243,0.295
"561","M",0.465,0.36,0.08,0.488,0.191,0.125,0.155
"562","F",0.49,0.36,0.11,0.5005,0.161,0.107,0.195
"563","M",0.4,0.305,0.085,0.297,0.108,0.0705,0.1
"564","F",0.48,0.375,0.105,0.525,0.2185,0.1195,0.155
"565","M",0.505,0.4,0.125,0.77,0.2735,0.159,0.255
"566","F",0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
"567","M",0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275
"568","M",0.545,0.42,0.13,0.879,0.374,0.1695,0.23
"569","M",0.52,0.4,0.12,0.823,0.298,0.1805,0.265
"570","M",0.505,0.38,0.13,0.656,0.227,0.1785,0.22
"571","M",0.525,0.425,0.12,0.8665,0.2825,0.176,0.29
"572","M",0.51,0.39,0.125,0.6565,0.262,0.1835,0.175
"573","M",0.52,0.385,0.115,0.669,0.2385,0.172,0.205
"574","F",0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21
"575","M",0.535,0.41,0.135,0.862,0.2855,0.1525,0.32
"576","M",0.445,0.345,0.09,0.3795,0.143,0.074,0.125
"577","M",0.53,0.44,0.205,0.835,0.32,0.2175,0.245
"578","F",0.36,0.265,0.09,0.2065,0.078,0.057,0.06
"579","F",0.535,0.42,0.15,0.7365,0.2785,0.186,0.215
"580","F",0.52,0.405,0.14,0.8175,0.2795,0.183,0.26
"581","M",0.53,0.415,0.13,0.8425,0.275,0.1945,0.265
"582","F",0.53,0.42,0.13,1.001,0.34,0.226,0.265
"583","F",0.66,0.52,0.2,1.676,0.673,0.4805,0.45
"584","M",0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16
"585","M",0.535,0.42,0.13,0.8055,0.301,0.181,0.28
"586","M",0.695,0.515,0.175,1.5165,0.578,0.4105,0.39
"587","F",0.51,0.39,0.105,0.612,0.187,0.15,0.195
"588","M",0.485,0.355,0.12,0.547,0.215,0.1615,0.14
"589","F",0.605,0.46,0.17,1.122,0.347,0.3045,0.315
"590","F",0.58,0.455,0.165,1.1365,0.369,0.3005,0.275
"591","M",0.65,0.515,0.175,1.4805,0.5295,0.272,0.525
"592","M",0.62,0.505,0.185,1.5275,0.69,0.368,0.35
"593","M",0.615,0.525,0.155,1.1375,0.367,0.236,0.37
"594","F",0.605,0.495,0.19,1.437,0.469,0.2655,0.41
"595","M",0.57,0.44,0.155,1.116,0.4775,0.2315,0.27
"596","M",0.57,0.43,0.12,1.0615,0.348,0.167,0.31
"597","M",0.585,0.405,0.15,1.2565,0.435,0.202,0.325
"598","F",0.55,0.44,0.155,0.946,0.313,0.1825,0.335
"599","F",0.54,0.44,0.135,0.959,0.2385,0.221,0.3
"600","M",0.64,0.51,0.19,1.613,0.6215,0.361,0.47
"601","F",0.61,0.47,0.145,1.153,0.403,0.296,0.32
"602","M",0.545,0.45,0.15,0.978,0.3365,0.1905,0.3
"603","F",0.59,0.445,0.13,1.1325,0.3825,0.234,0.32
"604","M",0.345,0.27,0.095,0.197,0.0665,0.05,0.07
"605","F",0.55,0.43,0.155,0.785,0.289,0.227,0.233
"606","F",0.53,0.425,0.17,0.949,0.3485,0.2395,0.278
"607","F",0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965
"608","M",0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085
"609","M",0.455,0.34,0.135,0.462,0.1675,0.158,0.12
"610","M",0.49,0.38,0.14,0.7605,0.245,0.167,0.185
"611","M",0.53,0.41,0.165,0.732,0.189,0.17,0.31
"612","M",0.505,0.385,0.145,0.6775,0.236,0.179,0.2
"613","M",0.49,0.38,0.14,0.6385,0.2305,0.142,0.195
"614","M",0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19
"615","F",0.47,0.36,0.145,0.537,0.1725,0.1375,0.195
"616","M",0.56,0.41,0.165,0.93,0.3505,0.237,0.3
"617","M",0.505,0.385,0.15,0.6415,0.246,0.152,0.215
"618","M",0.515,0.435,0.145,0.8815,0.292,0.206,0.255
"619","M",0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905
"620","F",0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845
"621","M",0.495,0.385,0.135,0.709,0.211,0.1375,0.262
"622","F",0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635
"623","F",0.6,0.465,0.165,0.8875,0.309,0.246,0.262
"624","F",0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263
"625","F",0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685
"626","M",0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625
"627","M",0.575,0.45,0.165,0.9215,0.3275,0.225,0.256
"628","M",0.58,0.465,0.16,1.0345,0.315,0.26,0.3635
"629","M",0.515,0.405,0.145,0.695,0.215,0.1635,0.234
"630","M",0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214
"631","M",0.44,0.335,0.11,0.394,0.157,0.096,0.122
"632","M",0.52,0.42,0.16,0.745,0.255,0.157,0.2885
"633","F",0.425,0.345,0.11,0.3665,0.125,0.081,0.117
"634","M",0.46,0.34,0.135,0.495,0.1655,0.117,0.185
"635","M",0.45,0.335,0.125,0.349,0.119,0.1055,0.115
"636","M",0.425,0.33,0.13,0.4405,0.152,0.0935,0.155
"637","M",0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155
"638","M",0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095
"639","F",0.48,0.4,0.125,0.759,0.2125,0.179,0.24
"640","F",0.44,0.34,0.13,0.4195,0.153,0.1155,0.13
"641","F",0.52,0.41,0.115,0.807,0.2855,0.179,0.235
"642","M",0.505,0.405,0.14,0.875,0.2665,0.174,0.285
"643","F",0.49,0.365,0.13,0.6835,0.165,0.1315,0.205
"644","M",0.415,0.305,0.1,0.325,0.156,0.0505,0.091
"645","M",0.47,0.375,0.12,0.5805,0.266,0.0935,0.169
"646","F",0.48,0.365,0.135,0.6395,0.2945,0.113,0.175
"647","M",0.49,0.385,0.125,0.609,0.3065,0.096,0.1775
"648","F",0.495,0.41,0.125,0.7555,0.3355,0.129,0.214
"649","M",0.5,0.4,0.125,0.5975,0.27,0.1275,0.166
"650","M",0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239
"651","M",0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225
"652","M",0.54,0.405,0.125,0.891,0.4815,0.1915,0.202
"653","F",0.54,0.42,0.14,0.805,0.369,0.1725,0.21
"654","F",0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375
"655","F",0.55,0.43,0.125,0.923,0.4035,0.175,0.283
"656","M",0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875
"657","F",0.55,0.45,0.15,0.875,0.362,0.1755,0.2765
"658","M",0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385
"659","M",0.565,0.45,0.155,1.0595,0.4735,0.24,0.265
"660","M",0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745
"661","M",0.57,0.435,0.13,0.7535,0.349,0.1755,0.194
"662","F",0.575,0.465,0.14,0.958,0.442,0.1815,0.2705
"663","M",0.59,0.475,0.165,1.077,0.4545,0.244,0.3095
"664","M",0.59,0.46,0.13,1.102,0.455,0.2055,0.33
"665","F",0.595,0.48,0.15,1.11,0.498,0.228,0.33
"666","F",0.595,0.48,0.16,1.2095,0.5225,0.296,0.32
"667","F",0.595,0.475,0.16,1.1405,0.547,0.231,0.271
"668","F",0.595,0.465,0.14,1.113,0.5175,0.244,0.305
"669","M",0.6,0.475,0.175,1.3445,0.549,0.2875,0.36
"670","F",0.6,0.475,0.155,1.21,0.653,0.1695,0.3205
"671","M",0.6,0.495,0.175,1.29,0.606,0.276,0.3445
"672","F",0.605,0.475,0.175,1.382,0.609,0.2325,0.3985
"673","M",0.605,0.455,0.16,1.1035,0.421,0.3015,0.325
"674","F",0.615,0.5,0.175,1.377,0.5585,0.33,0.292
"675","F",0.615,0.52,0.15,1.3435,0.629,0.2605,0.345
"676","M",0.615,0.51,0.15,1.296,0.545,0.3315,0.32
"677","M",0.615,0.505,0.165,1.34,0.5315,0.2815,0.41
"678","F",0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685
"679","M",0.62,0.5,0.165,1.307,0.6355,0.2545,0.315
"680","F",0.625,0.49,0.155,1.2085,0.465,0.162,0.411
"681","F",0.625,0.49,0.2,1.3825,0.5895,0.285,0.381
"682","M",0.63,0.505,0.165,1.26,0.4525,0.2755,0.406
"683","M",0.635,0.51,0.17,1.3555,0.619,0.305,0.39
"684","F",0.635,0.5,0.15,1.376,0.6495,0.361,0.31
"685","F",0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715
"686","F",0.64,0.51,0.165,1.486,0.7595,0.332,0.321
"687","M",0.65,0.525,0.175,1.4715,0.675,0.315,0.399
"688","M",0.655,0.52,0.165,1.4095,0.586,0.291,0.405
"689","M",0.655,0.58,0.205,2.0805,0.959,0.3415,0.601
"690","M",0.66,0.53,0.17,1.3905,0.5905,0.212,0.453
"691","M",0.66,0.52,0.19,1.558,0.755,0.298,0.4
"692","F",0.67,0.585,0.16,1.309,0.5445,0.2945,0.413
"693","F",0.675,0.525,0.17,1.8095,0.784,0.391,0.455
"694","F",0.675,0.525,0.155,1.4785,0.628,0.3405,0.42
"695","F",0.68,0.56,0.195,1.7775,0.861,0.322,0.415
"696","F",0.685,0.54,0.16,1.6675,0.833,0.3775,0.475
"697","F",0.695,0.56,0.22,1.834,0.8455,0.422,0.455
"698","M",0.73,0.595,0.23,2.8255,1.1465,0.419,0.897
"699","F",0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195
"700","F",0.465,0.35,0.125,0.482,0.23,0.106,0.1095
"701","M",0.47,0.365,0.12,0.612,0.327,0.15,0.14
"702","F",0.47,0.365,0.12,0.582,0.29,0.092,0.146
"703","M",0.475,0.37,0.125,0.537,0.222,0.1215,0.15
"704","F",0.475,0.36,0.12,0.5915,0.3245,0.11,0.127
"705","M",0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17
"706","M",0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575
"707","M",0.48,0.36,0.1,0.439,0.194,0.099,0.115
"708","M",0.48,0.365,0.12,0.6015,0.312,0.117,0.14
"709","F",0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129
"710","M",0.49,0.385,0.125,0.649,0.32,0.124,0.1695
"711","M",0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495
"712","M",0.495,0.4,0.135,0.61,0.272,0.1435,0.144
"713","M",0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565
"714","M",0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535
"715","M",0.5,0.4,0.125,0.6725,0.336,0.12,0.1825
"716","F",0.505,0.39,0.13,0.674,0.3165,0.141,0.1785
"717","M",0.505,0.41,0.125,0.642,0.289,0.133,0.155
"718","M",0.51,0.39,0.135,0.769,0.3935,0.1455,0.19
"719","M",0.51,0.405,0.15,0.7035,0.347,0.134,0.1885
"720","M",0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955
"721","F",0.515,0.43,0.14,0.834,0.367,0.2,0.23
"722","M",0.515,0.39,0.155,0.7125,0.3695,0.137,0.155
"723","F",0.525,0.415,0.14,0.724,0.3475,0.173,0.175
"724","M",0.525,0.4,0.14,0.7325,0.334,0.1575,0.17
"725","F",0.53,0.425,0.13,0.7585,0.325,0.197,0.205
"726","F",0.53,0.425,0.15,0.8495,0.328,0.232,0.202
"727","M",0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186
"728","F",0.535,0.4,0.135,0.8215,0.3935,0.196,0.205
"729","M",0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155
"730","M",0.535,0.435,0.14,0.874,0.3735,0.229,0.2195
"731","F",0.55,0.445,0.155,0.9905,0.544,0.178,0.218
"732","F",0.55,0.43,0.14,0.8105,0.368,0.161,0.275
"733","F",0.56,0.455,0.16,0.967,0.4525,0.207,0.274
"734","F",0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18
"735","M",0.57,0.45,0.155,1.195,0.5625,0.2565,0.295
"736","M",0.57,0.45,0.155,1.1935,0.513,0.21,0.343
"737","F",0.57,0.455,0.15,1.107,0.54,0.255,0.27
"738","M",0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24
"739","M",0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214
"740","M",0.575,0.475,0.16,1.114,0.4955,0.2745,0.29
"741","F",0.575,0.46,0.16,1.103,0.538,0.221,0.249
"742","F",0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29
"743","F",0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276
"744","M",0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835
"745","F",0.58,0.45,0.145,1.137,0.5585,0.22,0.29
"746","M",0.58,0.49,0.13,1.1335,0.586,0.2565,0.237
"747","M",0.59,0.465,0.155,1.136,0.5245,0.2615,0.275
"748","M",0.59,0.47,0.16,1.206,0.479,0.2425,0.309
"749","F",0.59,0.455,0.145,1.063,0.5155,0.2445,0.25
"750","F",0.595,0.47,0.155,1.121,0.4515,0.178,0.155
"751","F",0.595,0.45,0.15,1.114,0.5865,0.2205,0.25
"752","M",0.595,0.475,0.165,1.213,0.621,0.2435,0.274
"753","F",0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515
"754","M",0.595,0.455,0.15,1.044,0.518,0.2205,0.27
"755","F",0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295
"756","M",0.605,0.475,0.155,1.161,0.572,0.2455,0.275
"757","M",0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925
"758","M",0.61,0.47,0.15,1.1625,0.565,0.258,0.3085
"759","M",0.61,0.475,0.155,1.168,0.554,0.239,0.3295
"760","F",0.615,0.48,0.16,1.2525,0.585,0.2595,0.33
"761","F",0.62,0.51,0.18,1.3315,0.594,0.276,0.388
"762","F",0.625,0.48,0.17,1.3525,0.6235,0.278,0.365
"763","M",0.625,0.49,0.175,1.3325,0.5705,0.271,0.405
"764","F",0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349
"765","F",0.625,0.5,0.165,1.288,0.573,0.3035,0.315
"766","F",0.625,0.485,0.2,1.38,0.5845,0.302,0.401
"767","M",0.63,0.485,0.155,1.278,0.637,0.275,0.31
"768","F",0.63,0.495,0.165,1.3075,0.599,0.284,0.315
"769","M",0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235
"770","M",0.635,0.49,0.175,1.375,0.623,0.2705,0.395
"771","M",0.635,0.525,0.185,1.4065,0.684,0.3,0.3745
"772","M",0.64,0.505,0.155,1.4025,0.705,0.2655,0.335
"773","F",0.64,0.5,0.17,1.5175,0.693,0.326,0.409
"774","F",0.64,0.5,0.175,1.394,0.4935,0.291,0.4
"775","F",0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185
"776","M",0.645,0.52,0.175,1.636,0.779,0.342,0.432
"777","M",0.645,0.52,0.175,1.561,0.709,0.3555,0.4
"778","F",0.645,0.505,0.165,1.4325,0.684,0.308,0.336
"779","M",0.645,0.5,0.175,1.3385,0.633,0.299,0.349
"780","F",0.645,0.5,0.16,1.2465,0.5475,0.327,0.3
"781","F",0.645,0.515,0.15,1.212,0.515,0.2055,0.385
"782","M",0.65,0.495,0.16,1.304,0.57,0.312,0.3725
"783","M",0.65,0.52,0.21,1.6785,0.6665,0.308,0.46
"784","M",0.65,0.525,0.185,1.622,0.6645,0.3225,0.477
"785","F",0.655,0.46,0.16,1.494,0.6895,0.331,0.1825
"786","F",0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403
"787","F",0.66,0.505,0.185,1.528,0.69,0.3025,0.441
"788","M",0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175
"789","M",0.66,0.495,0.195,1.6275,0.594,0.3595,0.485
"790","F",0.66,0.475,0.18,1.3695,0.641,0.294,0.335
"791","M",0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005
"792","F",0.675,0.57,0.225,1.587,0.739,0.2995,0.435
"793","F",0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553
"794","M",0.68,0.535,0.185,1.607,0.7245,0.3215,0.498
"795","M",0.69,0.525,0.175,1.7005,0.8255,0.362,0.405
"796","M",0.69,0.505,0.2,1.872,0.893,0.4015,0.48
"797","F",0.695,0.535,0.175,1.8385,0.8035,0.396,0.503
"798","F",0.705,0.535,0.18,1.685,0.693,0.42,0.4045
"799","M",0.71,0.565,0.205,2.198,1.012,0.5225,0.5475
"800","M",0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135
"801","F",0.715,0.525,0.185,1.56,0.6655,0.383,0.405
"802","F",0.735,0.6,0.22,2.555,1.1335,0.44,0.6
"803","M",0.765,0.6,0.22,2.302,1.007,0.509,0.6205
"804","M",0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035
"805","M",0.47,0.36,0.105,0.544,0.27,0.1395,0.129
