"","Sex","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight"
"1057","I",0.225,0.165,0.055,0.059,0.027,0.0125,0.015
"1058","I",0.245,0.18,0.065,0.071,0.03,0.013,0.0215
"1059","I",0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225
"1060","I",0.265,0.195,0.055,0.084,0.0365,0.0175,0.025
"1061","I",0.275,0.195,0.065,0.106,0.054,0.02,0.028
"1062","I",0.28,0.21,0.085,0.1075,0.0415,0.024,0.034
"1063","I",0.285,0.22,0.065,0.096,0.0405,0.0205,0.03
"1064","I",0.3,0.22,0.08,0.1255,0.055,0.0265,0.039
"1065","I",0.315,0.235,0.055,0.151,0.065,0.027,0.039
"1066","I",0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405
"1067","I",0.34,0.265,0.08,0.2015,0.09,0.0475,0.055
"1068","I",0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635
"1069","I",0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067
"1070","I",0.375,0.275,0.1,0.2325,0.1165,0.042,0.065
"1071","I",0.385,0.29,0.08,0.2485,0.122,0.0495,0.065
"1072","I",0.4,0.32,0.095,0.348,0.194,0.053,0.087
"1073","I",0.405,0.3,0.11,0.32,0.172,0.044,0.093
"1074","I",0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
"1075","I",0.41,0.325,0.1,0.3245,0.132,0.072,0.106
"1076","I",0.42,0.3,0.105,0.316,0.1255,0.07,0.1035
"1077","I",0.42,0.32,0.11,0.3625,0.174,0.0635,0.105
"1078","I",0.42,0.31,0.095,0.279,0.1255,0.051,0.088
"1079","I",0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045
"1080","A",0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035
"1081","I",0.435,0.33,0.11,0.413,0.2055,0.096,0.096
"1082","I",0.435,0.345,0.115,0.418,0.222,0.0735,0.106
"1083","I",0.44,0.33,0.11,0.3705,0.1545,0.084,0.12
"1084","I",0.445,0.345,0.105,0.409,0.1675,0.1015,0.117
"1085","I",0.445,0.34,0.145,0.434,0.1945,0.0905,0.13
"1086","I",0.445,0.335,0.11,0.411,0.1985,0.0935,0.109
"1087","I",0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315
"1088","I",0.45,0.34,0.12,0.4925,0.241,0.1075,0.12
"1089","I",0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975
"1090","I",0.45,0.33,0.1,0.411,0.1945,0.1,0.098
"1091","I",0.45,0.33,0.11,0.3685,0.16,0.0885,0.102
"1092","I",0.46,0.35,0.115,0.4155,0.18,0.098,0.1175
"1093","A",0.47,0.36,0.105,0.544,0.27,0.1395,0.129
"1094","I",0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
"1095","I",0.475,0.35,0.11,0.4565,0.206,0.099,0.13
"1096","I",0.475,0.35,0.1,0.4545,0.2165,0.111,0.115
"1097","I",0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665
"1098","A",0.49,0.465,0.125,0.5225,0.235,0.13,0.141
"1099","I",0.5,0.375,0.14,0.5495,0.248,0.112,0.1585
"1100","I",0.5,0.375,0.12,0.542,0.215,0.116,0.17
"1101","I",0.5,0.38,0.125,0.519,0.2485,0.1135,0.134
"1102","A",0.5,0.39,0.125,0.5215,0.2485,0.117,0.131
"1103","A",0.505,0.39,0.125,0.5445,0.246,0.15,0.1405
"1104","I",0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182
"1105","A",0.51,0.4,0.125,0.545,0.261,0.115,0.1385
"1106","I",0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525
"1107","I",0.51,0.38,0.115,0.5155,0.215,0.1135,0.166
"1108","I",0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15
"1109","A",0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185
"1110","I",0.52,0.38,0.135,0.5395,0.2295,0.133,0.157
"1111","I",0.52,0.38,0.125,0.5545,0.288,0.1295,0.167
"1112","A",0.52,0.46,0.15,1.019,0.523,0.1985,0.254
"1113","I",0.525,0.4,0.13,0.6455,0.325,0.1245,0.17
"1114","I",0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835
"1115","A",0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201
"1116","I",0.525,0.395,0.12,0.608,0.297,0.1395,0.1405
"1117","I",0.53,0.4,0.125,0.617,0.279,0.127,0.19
"1118","I",0.535,0.39,0.125,0.599,0.2595,0.149,0.169
"1119","I",0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895
"1120","A",0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156
"1121","A",0.545,0.41,0.12,0.793,0.434,0.1405,0.19
"1122","A",0.545,0.415,0.14,0.82,0.4615,0.127,0.218
"1123","A",0.55,0.415,0.135,0.8145,0.427,0.1855,0.175
"1124","A",0.55,0.43,0.15,0.84,0.395,0.195,0.223
"1125","A",0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165
"1126","A",0.56,0.43,0.145,0.8995,0.464,0.1775,0.234
"1127","A",0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215
"1128","A",0.56,0.44,0.155,0.6405,0.336,0.1765,0.245
"1129","A",0.56,0.415,0.145,0.852,0.43,0.1885,0.205
"1130","A",0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23
"1131","A",0.565,0.435,0.15,0.99,0.5795,0.1825,0.206
"1132","A",0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645
"1133","A",0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25
"1134","A",0.57,0.445,0.145,0.8775,0.412,0.217,0.22
"1135","I",0.57,0.44,0.15,0.755,0.3425,0.16,0.224
"1136","A",0.575,0.46,0.145,0.9945,0.466,0.229,0.265
"1137","A",0.575,0.45,0.16,1.068,0.556,0.214,0.2575
"1138","A",0.575,0.435,0.14,0.8455,0.401,0.191,0.222
"1139","A",0.575,0.47,0.165,0.869,0.435,0.197,0.238
"1140","A",0.575,0.455,0.135,0.907,0.4245,0.197,0.26
"1141","I",0.575,0.435,0.13,0.805,0.3155,0.2155,0.245
"1142","A",0.575,0.445,0.17,1.0225,0.549,0.2175,0.228
"1143","A",0.575,0.445,0.145,0.847,0.415,0.1945,0.22
"1144","A",0.58,0.455,0.15,1.114,0.4765,0.2155,0.265
"1145","A",0.58,0.455,0.195,1.859,0.945,0.426,0.441
"1146","A",0.58,0.445,0.135,0.814,0.3775,0.1915,0.22
"1147","A",0.58,0.45,0.14,0.9615,0.486,0.1815,0.253
"1148","A",0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295
"1149","A",0.58,0.45,0.155,0.93,0.385,0.246,0.265
"1150","A",0.585,0.46,0.145,0.9335,0.478,0.1825,0.235
"1151","A",0.585,0.465,0.16,0.9555,0.4595,0.236,0.265
"1152","A",0.59,0.47,0.15,0.9955,0.481,0.232,0.24
"1153","A",0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565
"1154","A",0.6,0.455,0.17,1.1915,0.696,0.2395,0.24
"1155","A",0.6,0.465,0.15,1.1025,0.5455,0.262,0.25
"1156","A",0.6,0.465,0.155,1.0165,0.512,0.2465,0.225
"1157","A",0.605,0.47,0.165,1.1775,0.611,0.2275,0.292
"1158","A",0.605,0.475,0.14,1.1175,0.555,0.257,0.274
"1159","A",0.605,0.48,0.17,1.1835,0.582,0.2365,0.317
"1160","A",0.605,0.475,0.165,1.056,0.433,0.2195,0.357
"1161","A",0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415
"1162","A",0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865
"1163","A",0.61,0.47,0.165,1.052,0.498,0.242,0.267
"1164","A",0.615,0.46,0.17,1.0565,0.4815,0.272,0.27
"1165","A",0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415
"1166","A",0.615,0.475,0.155,1.027,0.447,0.25,0.285
"1167","A",0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475
"1168","A",0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405
"1169","A",0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281
"1170","A",0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332
"1171","A",0.625,0.48,0.185,1.2065,0.587,0.29,0.286
"1172","A",0.63,0.47,0.155,1.1325,0.589,0.211,0.287
"1173","A",0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425
"1174","A",0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885
"1175","A",0.64,0.515,0.165,1.369,0.632,0.3415,0.358
"1176","A",0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735
"1177","A",0.645,0.48,0.17,1.1345,0.528,0.254,0.305
"1178","A",0.65,0.5,0.19,1.464,0.6415,0.339,0.4245
"1179","A",0.65,0.5,0.155,1.202,0.565,0.3135,0.294
"1180","A",0.655,0.515,0.16,1.31,0.553,0.369,0.345
"1181","A",0.655,0.51,0.175,1.415,0.5885,0.3725,0.364
"1182","A",0.66,0.53,0.185,1.346,0.546,0.2705,0.476
"1183","A",0.665,0.525,0.16,1.363,0.629,0.279,0.34
"1184","I",0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595
"1185","A",0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353
"1186","A",0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735
"1187","A",0.685,0.52,0.165,1.519,0.699,0.3685,0.4
"1188","A",0.69,0.54,0.155,1.454,0.624,0.3105,0.39
"1189","A",0.69,0.53,0.21,1.583,0.7355,0.405,0.3865
"1190","A",0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695
"1191","A",0.695,0.56,0.185,1.74,0.885,0.3715,0.4375
"1192","A",0.7,0.565,0.18,1.751,0.895,0.3355,0.446
"1193","A",0.7,0.575,0.19,2.273,1.095,0.418,0.638
"1194","A",0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995
"1195","A",0.705,0.55,0.17,1.219,0.6395,0.236,0.301
"1196","A",0.71,0.56,0.18,1.652,0.735,0.381,0.4525
"1197","A",0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075
"1198","A",0.715,0.535,0.19,1.6755,0.889,0.313,0.42
"1199","A",0.72,0.58,0.195,2.103,1.0265,0.48,0.5375
"1200","A",0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215
"1201","A",0.72,0.565,0.145,1.187,0.691,0.1945,0.2685
"1202","A",0.725,0.505,0.185,1.978,1.026,0.4255,0.4505
"1203","A",0.73,0.575,0.185,1.8795,0.931,0.38,0.4825
"1204","A",0.735,0.585,0.185,2.124,0.952,0.55,0.5
"1205","A",0.745,0.565,0.215,1.931,0.896,0.4585,0.5
"1206","A",0.75,0.57,0.21,2.236,1.109,0.5195,0.545
"1207","A",0.755,0.625,0.21,2.505,1.1965,0.513,0.6785
"1208","A",0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595
"1209","A",0.78,0.63,0.215,2.657,1.488,0.4985,0.586
"1210","I",0.185,0.375,0.12,0.4645,0.196,0.1045,0.15
"1211","I",0.245,0.205,0.06,0.0765,0.034,0.014,0.0215
"1212","I",0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225
"1213","I",0.25,0.19,0.065,0.0835,0.039,0.015,0.025
"1214","I",0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355
"1215","I",0.305,0.215,0.065,0.1075,0.044,0.0205,0.038
"1216","I",0.31,0.225,0.07,0.1055,0.435,0.015,0.04
"1217","I",0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445
"1218","I",0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385
"1219","I",0.325,0.225,0.075,0.139,0.0565,0.032,0.09
"1220","I",0.33,0.25,0.095,0.2085,0.102,0.0395,0.052
"1221","I",0.33,0.205,0.095,0.1595,0.077,0.032,0.0435
"1222","I",0.335,0.245,0.09,0.2015,0.096,0.0405,0.048
"1223","I",0.34,0.25,0.09,0.179,0.0775,0.033,0.055
"1224","I",0.345,0.255,0.095,0.1945,0.0925,0.037,0.055
"1225","I",0.345,0.255,0.085,0.2005,0.105,0.037,0.05
"1226","I",0.35,0.27,0.075,0.215,0.1,0.036,0.065
"1227","I",0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525
"1228","I",0.36,0.27,0.085,0.196,0.0875,0.035,0.064
"1229","I",0.365,0.27,0.085,0.1875,0.081,0.042,0.058
"1230","I",0.365,0.27,0.085,0.196,0.0825,0.0375,0.06
"1231","I",0.365,0.265,0.085,0.213,0.0945,0.049,0.06
"1232","I",0.37,0.29,0.09,0.2445,0.089,0.0655,0.075
"1233","I",0.37,0.28,0.085,0.217,0.1095,0.035,0.062
"1234","I",0.375,0.29,0.095,0.213,0.096,0.041,0.061
"1235","I",0.375,0.29,0.085,0.2385,0.118,0.045,0.0695
"1236","I",0.375,0.275,0.09,0.218,0.093,0.0405,0.0755
"1237","I",0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775
"1238","I",0.375,0.28,0.08,0.2025,0.0825,0.048,0.065
"1239","I",0.375,0.27,0.085,0.218,0.0945,0.039,0.07
"1240","I",0.38,0.275,0.11,0.256,0.11,0.0535,0.0755
"1241","I",0.38,0.27,0.08,0.2105,0.0865,0.042,0.07
"1242","I",0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745
"1243","I",0.385,0.28,0.085,0.2175,0.097,0.038,0.067
"1244","I",0.385,0.3,0.095,0.302,0.152,0.0615,0.0735
"1245","I",0.385,0.28,0.09,0.228,0.1025,0.042,0.0655
"1246","I",0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089
"1247","I",0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945
"1248","I",0.395,0.295,0.095,0.2725,0.115,0.0625,0.085
"1249","I",0.395,0.27,0.1,0.2985,0.1445,0.061,0.082
"1250","I",0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765
"1251","I",0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075
"1252","I",0.41,0.335,0.11,0.33,0.157,0.0705,0.17
"1253","I",0.42,0.305,0.09,0.328,0.168,0.0615,0.082
"1254","I",0.425,0.325,0.11,0.3335,0.173,0.045,0.1
"1255","I",0.425,0.32,0.1,0.3055,0.126,0.06,0.106
"1256","I",0.425,0.31,0.09,0.301,0.1385,0.065,0.08
"1257","I",0.43,0.34,0,0.428,0.2065,0.086,0.115
"1258","I",0.43,0.315,0.095,0.378,0.175,0.08,0.1045
"1259","I",0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12
"1260","I",0.44,0.34,0.12,0.438,0.2115,0.083,0.12
"1261","I",0.45,0.33,0.105,0.448,0.208,0.089,0.12
"1262","I",0.455,0.345,0.105,0.4005,0.164,0.0755,0.126
"1263","A",0.455,0.365,0.115,0.4305,0.184,0.108,0.1245
"1264","I",0.455,0.33,0.1,0.372,0.358,0.0775,0.11
"1265","I",0.46,0.36,0.105,0.466,0.2225,0.099,0.11
"1266","I",0.46,0.35,0.105,0.3705,0.1575,0.077,0.114
"1267","A",0.46,0.365,0.125,0.4785,0.206,0.1045,0.141
"1268","I",0.465,0.34,0.11,0.346,0.1425,0.073,0.113
"1269","I",0.47,0.365,0.1,0.411,0.175,0.0855,0.135
"1270","I",0.47,0.355,0.18,0.48,0.2055,0.105,0.1505
"1271","I",0.47,0.355,0.12,0.393,0.167,0.0885,0.115
"1272","I",0.475,0.355,0.1,0.5035,0.2535,0.091,0.14
"1273","I",0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505
"1274","I",0.475,0.36,0.11,0.492,0.211,0.11,0.15
"1275","I",0.48,0.37,0.125,0.5435,0.244,0.101,0.165
"1276","I",0.48,0.355,0.115,0.4725,0.2065,0.112,0.132
"1277","I",0.48,0.365,0.1,0.461,0.2205,0.0835,0.135
"1278","I",0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495
"1279","I",0.495,0.38,0.13,0.5125,0.2185,0.116,0.16
"1280","A",0.495,0.395,0.12,0.553,0.224,0.1375,0.167
"1281","I",0.5,0.38,0.135,0.594,0.2945,0.104,0.1565
"1282","A",0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065
"1283","I",0.5,0.375,0.145,0.5795,0.239,0.1375,0.185
"1284","I",0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196
"1285","I",0.5,0.375,0.125,0.5695,0.259,0.124,0.157
"1286","I",0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195
"1287","I",0.505,0.405,0.13,0.6015,0.3015,0.11,0.18
"1288","I",0.505,0.38,0.12,0.594,0.2595,0.1435,0.18
"1289","I",0.505,0.395,0.105,0.551,0.248,0.103,0.171
"1290","I",0.515,0.38,0.12,0.625,0.3265,0.1295,0.16
"1291","I",0.515,0.42,0.135,0.711,0.337,0.144,0.205
"1292","I",0.515,0.4,0.135,0.6965,0.32,0.1255,0.175
"1293","I",0.52,0.4,0.13,0.5825,0.233,0.1365,0.18
"1294","I",0.52,0.395,0.125,0.663,0.3005,0.131,0.1905
"1295","I",0.525,0.4,0.125,0.6965,0.369,0.1385,0.164
"1296","A",0.525,0.42,0.155,0.842,0.428,0.1415,0.2045
"1297","I",0.53,0.415,0.13,0.694,0.3905,0.111,0.167
"1298","I",0.53,0.42,0.155,0.81,0.4725,0.111,0.192
"1299","I",0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189
"1300","I",0.53,0.425,0.13,0.7675,0.419,0.1205,0.21
"1301","I",0.535,0.4,0.135,0.6025,0.2895,0.121,0.154
"1302","I",0.535,0.415,0.15,0.5765,0.3595,0.135,0.225
"1303","A",0.535,0.41,0.13,0.7145,0.335,0.144,0.2075
"1304","A",0.535,0.435,0.15,0.717,0.3475,0.1445,0.194
"1305","A",0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175
"1306","I",0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229
"1307","I",0.545,0.435,0.135,0.7715,0.372,0.148,0.227
"1308","A",0.545,0.445,0.15,0.8,0.3535,0.163,0.207
"1309","I",0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545
"1310","I",0.545,0.405,0.135,0.5945,0.27,0.1185,0.185
"1311","I",0.55,0.43,0.145,0.7895,0.3745,0.171,0.223
"1312","A",0.55,0.405,0.125,0.651,0.2965,0.137,0.2
"1313","A",0.55,0.43,0.15,0.8745,0.413,0.1905,0.248
"1314","I",0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325
"1315","I",0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215
"1316","A",0.555,0.44,0.14,0.8705,0.407,0.156,0.255
"1317","I",0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28
"1318","I",0.555,0.43,0.14,0.7665,0.341,0.165,0.23
"1319","I",0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225
"1320","I",0.56,0.425,0.135,0.8205,0.3715,0.185,0.236
"1321","I",0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165
"1322","A",0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695
"1323","I",0.56,0.455,0.145,0.974,0.547,0.1615,0.235
"1324","I",0.565,0.44,0.175,0.8735,0.414,0.21,0.21
"1325","A",0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225
"1326","A",0.565,0.445,0.15,0.796,0.3635,0.184,0.219
"1327","A",0.565,0.39,0.125,0.744,0.352,0.13,0.1685
"1328","I",0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215
"1329","I",0.57,0.45,0.135,0.794,0.3815,0.1415,0.245
"1330","A",0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655
"1331","A",0.57,0.435,0.17,0.873,0.382,0.183,0.2705
"1332","I",0.57,0.44,0.13,0.7665,0.347,0.1785,0.202
"1333","A",0.57,0.435,0.125,0.8965,0.383,0.1835,0.275
"1334","A",0.575,0.42,0.135,0.857,0.461,0.147,0.2125
"1335","A",0.575,0.48,0.165,1.078,0.511,0.2095,0.306
"1336","A",0.575,0.46,0.155,0.892,0.4415,0.176,0.22
"1337","A",0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955
"1338","A",0.58,0.455,0.135,0.7955,0.405,0.167,0.204
"1339","A",0.58,0.445,0.15,0.858,0.4,0.156,0.253
"1340","A",0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235
"1341","A",0.585,0.49,0.185,1.171,0.522,0.2535,0.335
"1342","I",0.585,0.475,0.16,1.0505,0.48,0.234,0.285
"1343","A",0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274
"1344","A",0.585,0.47,0.165,1.409,0.8,0.229,0.295
"1345","A",0.585,0.475,0.15,1.065,0.5315,0.199,0.2885
"1346","A",0.585,0.45,0.18,0.7995,0.336,0.1855,0.237
"1347","I",0.59,0.445,0.135,0.7715,0.328,0.1745,0.23
"1348","A",0.59,0.47,0.18,1.187,0.5985,0.227,0.31
"1349","A",0.59,0.455,0.155,0.8855,0.388,0.188,0.275
"1350","A",0.595,0.465,0.15,0.98,0.4115,0.196,0.2255
"1351","A",0.595,0.465,0.155,1.026,0.4645,0.112,0.305
"1352","A",0.6,0.475,0.17,1.1315,0.508,0.272,0.309
"1353","A",0.6,0.48,0.155,1.014,0.451,0.1885,0.325
"1354","I",0.6,0.475,0.15,1.12,0.565,0.2465,0.27
"1355","A",0.6,0.465,0.155,1.04,0.4755,0.25,0.28
"1356","A",0.6,0.455,0.145,0.8895,0.419,0.1715,0.269
"1357","A",0.6,0.46,0.155,0.9595,0.4455,0.189,0.295
"1358","I",0.605,0.485,0.15,1.238,0.6315,0.226,0.33
"1359","A",0.605,0.49,0.14,0.9755,0.419,0.206,0.315
"1360","I",0.605,0.435,0.13,0.9025,0.432,0.174,0.26
"1361","A",0.605,0.475,0.175,1.076,0.463,0.2195,0.335
"1362","A",0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275
"1363","A",0.61,0.45,0.15,0.871,0.407,0.1835,0.25
"1364","A",0.61,0.48,0.165,1.244,0.6345,0.257,0.305
"1365","A",0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035
"1366","I",0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286
"1367","A",0.61,0.48,0.17,1.137,0.4565,0.29,0.347
"1368","A",0.61,0.46,0.16,1,0.494,0.197,0.275
"1369","A",0.615,0.475,0.155,1.004,0.4475,0.193,0.2895
"1370","A",0.615,0.47,0.165,1.128,0.4465,0.2195,0.34
"1371","A",0.615,0.5,0.17,1.054,0.4845,0.228,0.295
"1372","A",0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035
"1373","A",0.615,0.475,0.17,1.129,0.4795,0.302,0.3
"1374","A",0.615,0.48,0.175,1.118,0.446,0.3195,0.3
"1375","A",0.615,0.475,0.155,1.115,0.484,0.2115,0.355
"1376","A",0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39
"1377","A",0.62,0.495,0.18,1.2555,0.5765,0.254,0.355
"1378","A",0.62,0.5,0.15,1.293,0.596,0.3135,0.354
"1379","A",0.62,0.475,0.16,1.1295,0.463,0.2685,0.33
"1380","A",0.625,0.455,0.17,1.082,0.4955,0.2345,0.315
"1381","A",0.625,0.505,0.175,1.15,0.5475,0.256,0.3045
"1382","A",0.625,0.515,0.16,1.264,0.5715,0.326,0.321
"1383","A",0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185
"1384","A",0.63,0.485,0.17,1.3205,0.5945,0.345,0.345
"1385","I",0.63,0.505,0.18,1.272,0.6025,0.295,0.315
"1386","A",0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365
"1387","I",0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28
"1388","A",0.63,0.495,0.16,1.093,0.497,0.221,0.315
"1389","A",0.635,0.49,0.16,1.101,0.534,0.1865,0.3455
"1390","A",0.635,0.5,0.165,1.4595,0.705,0.2645,0.39
"1391","A",0.635,0.495,0.175,1.211,0.707,0.2725,0.323
"1392","A",0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665
"1393","A",0.635,0.51,0.155,0.986,0.405,0.2255,0.31
"1394","A",0.64,0.565,0.23,1.521,0.644,0.372,0.406
"1395","A",0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075
"1396","A",0.645,0.51,0.16,1.1835,0.556,0.2385,0.345
"1397","A",0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725
"1398","A",0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325
"1399","A",0.65,0.505,0.165,1.16,0.4785,0.274,0.349
"1400","A",0.65,0.59,0.22,1.662,0.77,0.378,0.435
"1401","A",0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405
"1402","A",0.65,0.51,0.19,1.542,0.7155,0.3735,0.375
"1403","A",0.65,0.51,0.17,1.567,0.7245,0.349,0.391
"1404","A",0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985
"1405","A",0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46
"1406","A",0.655,0.52,0.19,1.4545,0.6,0.3865,0.383
"1407","A",0.655,0.49,0.175,1.3585,0.6395,0.294,0.365
"1408","A",0.66,0.495,0.21,1.548,0.724,0.3525,0.3925
"1409","A",0.66,0.515,0.17,1.337,0.615,0.3125,0.3575
"1410","A",0.665,0.53,0.18,1.491,0.6345,0.342,0.435
"1411","A",0.67,0.53,0.225,1.5615,0.63,0.487,0.3725
"1412","A",0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745
"1413","A",0.675,0.545,0.185,1.7375,0.876,0.3135,0.469
"1414","A",0.685,0.545,0.205,1.7925,0.8145,0.416,0.461
"1415","A",0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975
"1416","A",0.7,0.545,0.13,1.556,0.6725,0.374,0.195
"1417","A",0.705,0.565,0.515,2.21,1.1075,0.4865,0.512
"1418","A",0.705,0.555,0.215,2.141,1.0465,0.383,0.528
"1419","A",0.705,0.57,0.18,1.5345,0.96,0.4195,0.43
"1420","A",0.71,0.55,0.17,1.614,0.743,0.345,0.45
"1421","A",0.72,0.575,0.17,1.9335,0.913,0.389,0.51
"1422","A",0.72,0.575,0.215,2.173,0.9515,0.564,0.5365
"1423","A",0.725,0.6,0.2,1.737,0.697,0.3585,0.595
"1424","A",0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52
"1425","A",0.735,0.565,0.205,2.1275,0.949,0.46,0.565
"1426","A",0.745,0.57,0.215,2.25,1.1565,0.446,0.558
"1427","A",0.75,0.61,0.235,2.5085,1.232,0.519,0.612
"1428","A",0.815,0.65,0.25,2.255,0.8905,0.42,0.7975
"1429","I",0.14,0.105,0.035,0.014,0.0055,0.0025,0.004
"1430","I",0.23,0.165,0.06,0.0515,0.019,0.0145,0.036
"1431","I",0.365,0.265,0.135,0.2215,0.105,0.047,0.0605
"1432","I",0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053
"1433","I",0.37,0.27,0.095,0.232,0.1325,0.041,0.0615
"1434","I",0.375,0.28,0.085,0.3155,0.187,0.046,0.067
"1435","I",0.385,0.3,0.09,0.247,0.1225,0.044,0.0675
"1436","I",0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765
"1437","I",0.4,0.29,0.11,0.329,0.188,0.0455,0.0825
"1438","I",0.4,0.3,0.09,0.2815,0.1185,0.061,0.08
"1439","I",0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855
"1440","I",0.405,0.29,0.09,0.2825,0.112,0.075,0.0815
"1441","I",0.405,0.3,0.105,0.304,0.1455,0.061,0.0805
"1442","I",0.41,0.32,0.095,0.2905,0.141,0.063,0.073
"1443","A",0.415,0.315,0.115,0.3895,0.2015,0.065,0.103
"1444","I",0.425,0.34,0.105,0.389,0.2015,0.0905,0.088
"1445","I",0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075
